date,lender,amount,borrower,industry,structure,description,location
10/5/2017,"Capital One N.A. Sponsor Finance [Administrative Agent, Sole Lead Arranger]",$65.0 MM,Harbor Group Consulting,Insurance,Senior Secured Credit Facility,The financing supports general corporate interests as well as a dividend payment. Transaction details not disclosed.,
10/5/2017,"Bank of America [Administrative Agent]
Citigroup Global Markets [Co-Syndication Agent]
JPMorgan Chase Bank [Co-Syndication Agent]
PNC Bank [Co-Syndication Agent]
Wells Fargo Bank [Co-Syndication Agent]",$800.0 MM,R.R. Donnelley & Sons Compay,Communications,Asset-based Revolver,"The Amended and Restated Credit Agreement amends and restates the Company’s credit agreement, dated as of September 30, 2016, among the Company, certain subsidiaries of the Company. All amounts outstanding under the Existing Credit Agreement were repaid with borrowings under the Amended and Restated Credit Agreement. The proceeds of the loans under the Amended and Restated Credit Agreement may be used for working capital and general corporate purposes. The Amended and Restated Credit Agreement provides for a senior secured asset-based revolving credit facility of up to $800,000,000, subject to a borrowing base. The amount available to be borrowed under the Amended and Restated Credit Agreement is equal to the lesser of (a) $800,000,000 and (b) the aggregate amount of accounts receivable, inventory, machinery and equipment and fee-owned real estate of the Company and the Guarantors (collectively, the “Borrowing Base”), subject to certain eligibility criteria and advance rates. The aggregate amount of real estate and machinery and equipment that can be included in the Borrowing Base cannot exceed $200,000,000. The Amended and Restated Credit Agreement is scheduled to mature on September 29, 2022, at which time all outstanding amounts under the Amended and Restated Credit Agreement will be due and payable.

Any borrowings under the Amended and Restated Credit Agreement will bear interest at a rate dependent on the average quarterly availability under the Amended and Restated Credit Agreement and will be calculated according to a base rate or a Eurocurrency rate plus an applicable margin. The applicable margin for base rate loans ranges from 0.25% to 0.50% and the applicable margin for Eurocurrency loans ranges from 1.25% to 1.50%. In addition, an unused line fee is payable quarterly on the unused portion of the amount available to be borrowed under the Amended and Restated Credit Agreement. The unused line fee accrues at a rate of either 0.250% or 0.375% depending upon the average usage of the facility.",
10/9/2017,Branch Banking & Trust Co. [Lender],$50.0 MM,"Applied Optoelectronics, Inc.",Semiconductor,Revolver,"A three year revolving line of credit. Borrowings under the Credit Facility will be used for general corporate purposes, according to a regulatory filing. The Company will make monthly payments of accrued interest with the final monthly payment being for all principal and all accrued interest not yet paid. Borrowings under the Credit Facility will bear interest at a rate equal to the one-month London Interbank Offered Rate (LIBOR) plus 1.50%.",
10/10/2017,"Wells Fargo Bank [Administrative Agent, Joint Lead Arranger]
Bank of America [Syndication Agent, Joint Lead Arranger]",$335.0 MM,BlueLinx Holdings Inc.,Building Supplies,Senior Secured Revolver,"A new five year, $335 million syndicated secured asset based revolving credit facility, with an option to increase the total commitments under the facility by up to $75 million subject to certain conditions including the consent from the lenders providing the incremental commitments. The ABL Facility, which matures in 2022, replaces the company’s existing $335 million credit facility that expires in July 2018. The ABL Facility is expected to close and fund on October 10, 2017.",
10/10/2017,"Bank of America [Lender]
UBS AG [Lender]
KeyBank [Lender]",$375.0 MM,"Griffin Capital Company, LLC",Real Estate,Interest Only Loan,"Companmy utilized the net proceeds to pay down a portion of its credit facility led by KeyBank National Association. The full-term, interest only Loan has a duration of ten years and matures on October 1, 2027 with a fixed rate of 3.77 percent.",
10/10/2017,"JPP, LLC [Lender]
JPP II, LLC [Lender]",$499.4 MM,Sears Holding Corporation,Retail,$100MM Credit Facility Upsize,"On October 4, 2017, Sears Holdings Corporation (the “Company”), through Sears, Roebuck and Co., Kmart Stores of Illinois LLC, Kmart of Washington LLC, Kmart Corporation, SHC Desert Springs, LLC, Innovel Solutions, Inc., Sears Holdings Management Corporation, Maxserv, Inc. and Troy Coolidge No. 13, LLC (collectively, “Borrowers”), entities wholly-owned and controlled, directly or indirectly by the Company, entered into an Amended and Restated Loan Agreement (the “Amended and Restated Loan Agreement”), which amended and restated its Loan Agreement, dated as of January 3, 2017 (as amended), with JPP, LLC and JPP II, LLC (collectively, the “Lenders”). Pursuant to the Amended and Restated Loan Agreement, the Borrowers borrowed an additional $100 million (the “Initial Incremental Loan”) from the Lenders. After giving effect to the Initial Incremental Loan, the aggregate principal amount outstanding under the Amended and Restated Loan Agreement was $499.4 million. Mr. Edward S. Lampert, the Company’s Chief Executive Officer and Chairman, is the sole stockholder, chief executive officer and director of ESL Investments, Inc., which controls JPP, LLC and JPP II, LLC. Subject to the satisfaction of certain conditions, including pledging additional properties or other assets as collateral, up to an additional $100 million may be drawn by the Company prior to December 1, 2017 (the “Additional Incremental Loan”; and the Additional Incremental Loan, if any, together with the Initial Incremental Loan, the “Incremental Loans”). The Incremental Loans mature on April 3, 2018. The original loans under the Amended and Restated Loan Agreement continue to mature on July 20, 2020. The Company expects to use the proceeds of the Incremental Loans for general corporate purposes. The Incremental Loans will have an annual interest rate of 11%, with accrued interest payable monthly. No upfront or funding fees will be paid in connection with the Incremental Loans. As with the existing loans under the Amended and Restated Loan Agreement, the Initial Incremental Loan is guaranteed by the Company and is currently secured by a first priority lien on 61 real properties owned by the Borrowers.",IL
10/11/2017,MB Business Capital [Lender],$9.0 MM,"E.J. Victor, Inc.",Manufacturing,Senior Credit Facility,The credit facility will be used to fund working capital needs. Transaction details not disclosed.,NC
10/11/2017,Marathon Asset Management [Lender],$40.0 MM,"ADMA Biologics, Inc.",Biologics,Credit Facility,"A credit agreement for up to $40 million with affiliated entities of Marathon Asset Management. ADMA will use the proceeds from this transaction to refinance the principal and accrued interest of its outstanding secured loan with Oxford Finance LLC, pay transaction expenses and provide for working and growth capital. Upon the closing of this financing with Marathon, ADMA received $30 million of a senior secured single draw term loan, with an additional $10 million senior secured single draw term loan to be provided by Marathon upon the achievement of either (i) the Food and Drug Administration’s (FDA) approval for the commercialization of Bivigam® and ADMA’s generation of not less than $500 thousand in net revenue from the sale in the United States of Bivigam® in calendar year 2018, or (ii) the FDA’s approval for the commercialization of RI-002 and ADMA’s generation in calendar year 2019 of not less than $500 thousand in net revenue from the sale in the United States of RI-002. The refinancing allows for an interest only payment period of 36 months, permitting ADMA to defer the first monthly payment of principal until October 2020.",
10/11/2017,Crystal Financial SBIC LP [Lender],$15.0 MM,ProAir Holdings,HVAC,Senior Secured Term Loan,"Proceeds from this facility will be used to finance the acquisition of Bus Air Manufacturing, also a leading player in the specialty niche market of HVAC solutions to the school bus and specialty vehicle market. Transaction details not disclosed.",IN
10/11/2017,Goldman Sachs [Administrative Agent],$939.5 MM,"Camping World Holdings, Inc.",Retail,$205MM Term Loan Upsize,"On October 6, 2017, CWGS Group, LLC (the “Borrower”), an indirect subsidiary of Camping World Holdings, Inc., entered into a Second Amendment (the “Second Amendment”) to the Credit Agreement dated as of November 8, 2016 (as amended by the First Amendment dated March 17, 2017 and as further amended, the ""Credit Agreement""). The Second Amendment, among other things, (i) increases the Borrower’s term loan facility by $205 million to the current outstanding principal amount of $939.45 million and (ii) amends the applicable margin to 2.00% from 2.75% per annum, in the case of base rate loans, and to 3.00% from 3.75% per annum, in the case of LIBOR loans.",
10/11/2017,"Citibank [Administrative Agent]
BMO Capital Markets [Joint Lead Arranger, Joint Bookrunner]
Merrill Lynch [Joint Lead Arranger, Joint Bookrunner]",$350.0 MM,"Crubhub, Inc.",Restaurant,$225MM Revolver; $125MM Term Loan,"The Credit Agreement provides, among other things, for (a) revolving loans in an aggregate principal amount at any one time outstanding not to exceed $225,000,000, subject to an increase of up to an additional $150,000,000 pursuant to the terms and conditions of the Credit Agreement, (b) term loans in an aggregate principal amount of $125,000,000, (c) issuances of letters of credit in a maximum aggregate principal amount at any one time outstanding not to exceed $20,000,000 and (d) swing line loans in an aggregate principal amount at any one time outstanding not to exceed $20,000,000. In addition, Grubhub Holdings may incur up to $150,000,000 of incremental revolving loans or incremental revolving term loans pursuant to the terms and conditions of the Credit Agreement.  The credit facility will be available to Grubhub Holdings until October 10, 2022. Grubhub Holdings intends to use the term loans to refinance its existing credit facility and to finance the purchase price and transaction costs in connection with the acquisition of Eat24, LLC. Under the Credit Agreement, the loans bear interest, at Grubhub Holdings’ option, based on LIBOR or an alternate base rate, plus a margin, which in the case of LIBOR loans is between 1.25% and 2.00% and in the case of alternate base rate loans is between 0.25% and 1.00%, and in each case, is based upon the Company’s and its subsidiaries’ consolidated total net leverage ratio (as defined in the Credit Agreement).  Grubhub Holdings is required to pay a commitment fee on the undrawn portion available under the revolving loan facility of between 0.20% and 0.30% per annum, based upon the Company’s and its subsidiaries’ consolidated total net leverage ratio.",IL
10/11/2017,PNC Bank [Agent],$75.0 MM,"Flotek Industries, Inc.",Chemicals,Revolver,"Pursuant to the Amendment, among other things, (i) the maximum loan amount increased to $75 million; (ii) the term of the credit facility was extended two years to mature on May 10, 2022; (iii) the maximum revolving advance amount increased to $75 million; (iv) the eligible inventory cap in the revolving advances calculation increased from $45 million to $52 million; (v) the availability block of $5 million, applied as a reduction of gross collateral value, was removed; (vi) the leverage ratio limitations for the extended term of the loan was established, as follows: (a) as of June 30, 2018, the leverage ratio may not exceed 3.50 to 1.00 and (b) as of September 30, 2018 and for each fiscal quarter thereafter, the leverage ratio may not exceed 3.00 to 1.00; (vii) the requirement to maintain undrawn availability of at least $10 million at the end of each month was removed; (viii) certain restrictions to capital expenditures were established for 2018 and thereafter, based on undrawn availability measured at month-end; and (ix) the limitation on repurchases or redemptions of issued common stock or preferred stock by the Company was increased to $35 million from $25 million if there is undrawn availability of at least $20 million under the credit facility.",TX
10/13/2017,"Wells Fargo Bank [Co-Lead Lender]
Bank of America [Co-Lead Lender]
Citizens Bank [Co-Lead Lender]",$450.0 MM,Crawford & Company,Insurance,Senior Secured Revolver,"A new five-year senior secured revolving credit facility. The new facility, which matures in November 2022, replaces an existing $400MM revolving credit facility. Transaction details not disclosed.",
10/16/2017,Sterling National Bank [Lender],$25.0 MM,"National Entertainment Network, LLC",Entertainment,Senior Credit Facilities,Transaction details not discloesed.,CO
10/16/2017,Ares Commercial Finance [Lender],$30.0 MM,"Cornerstone Research & Devleopment, Inc. d.b.a.Capstone Nutrition",Nutritional Products,Senior Secured Revolver,Proceeds of the financing were used to refinance the company’s existing debt and to support ongoing working capital needs. Transaction details not disclosed.,
10/17/2017,Citizens Commercial Banking [Sole Lead Arranger],$24.5 MM,Nixon,Consumer Products,Credit Facility,The new credit facility will be used for working capital and general corporate purposes. Transaction details not disclosed.,CA
10/17/2017,"JPMorgan Chase Bank [Administrative Agent, Collateral Agent, Co-Lead Arranger]
Merrill Lynch [Administrative Agent, Collateral Agent, Co-Lead Arranger]
Citibank [Co-Lead Arranger, Syndication Agent]
Bank of America [Syndication Agent]",$400.0 MM,Knowles Corporation,Technology,Senior Secured Revolover,"The New Credit Facility is being used for working capital and other general corporate purposes of the Borrowers, including, without limitation, refinancing of indebtedness under the Company’s Amended and Restated Credit Agreement dated as of January 27, 2014 , as amended and restated as of December 31, 2014 and as further amended and supplemented from time to time.The New Credit Facility provides for a five-year senior secured revolving credit facility providing for borrowings by the Borrowers in an aggregate principal amount at any time outstanding not to exceed US$400,000,000. Up to US$100,000,000 of the New Credit Facility will be available in Euro, Sterling and other currencies requested by the Company and agreed to by each Lender and up to US$50,000,000 of the New Credit Facility will be made available in the form of letters of credit denominated in currencies approved by the Administrative Agent and the Issuing Banks as requested by the Company. JPMorgan will make available under the New Credit Facility a swingline facility under which the Borrowers may request and JPMorgan, at its discretion, may make short-term borrowings in US dollars in an aggregate amount outstanding at any time not to exceed US$20,000,000. The interest rates under the New Credit Facility will be, at the Borrowers’ option (1) LIBOR (or, in the case of borrowings under the New Credit Facility denominated in Euro, EURIBOR) plus the rates per annum determined from time to time based on the total leverage ratio of the Company as of the end of and for the most recent period of four fiscal quarters for which financial statements have been delivered (the “Applicable Margin”); or (2) in the case of borrowings denominated in US Dollars, alternate base rate (“ABR”) (as defined in the Credit Agreement) plus the Applicable Margin; provided, however, that any swingline borrowings shall bear interest at the rate applicable to ABR borrowings or, prior to the purchase of participations in such borrowings by the Lenders, at such other rate as shall be agreed between the Company and JPMorgan as the swingline lender.",IL
10/18/2017,"Silicon Valley Bank [Lender]
SunTrust Bank [Lender]
Bank Leumi USA [Lender]
TriplePoint Venture Growth BDC Corp. [Lender]",$130.0 MM,BlueVine,Lender Finance,Credit Facility,New debt financing of up to $130MM to facilitate business product expansion. Transaction details not disclosed.,
10/18/2017,TCF Capital Funding [Lender],$12.5 MM,Wincove Private Holdings,Technology,Secured Financing Facility,"Secured financing to support Wincove Private Holding’s recapitalization of Comstar Technologies, LLC (“Comstar” or the “Company”). As part of the transaction, Wincove partnered with Comstar’s President to sponsor an ownership buy-in for key members of the Company’s management, and invested capital for future growth. Transaction details not disclosed.",
10/18/2017,"JPMorgan Chase Bank [Joint Lead Arranger, Sole Bookrunner, Administrative Agent]
SunTrust Bank [Syndication Agent]
SunTrust Robinson Humphrey [Joint Lead Arranger]",$250.0 MM,Goodrich Petroleum Corporation,Energy,Senior Secured Revolver,Senior secured revolving credit facility. Transaction details not disclosed.,TX
10/18/2017,"HSBC Bank USA [Administrative Agent, Collateral Agent]
HSBC Bank Canada [Joint Lead Arranger, Joint Bookrunner]
Bank of Montreal [Joint Lead Arranger, Joint Bookrunner]
The Bank of Nova Scotia [Joint Lead Arranger, Joint Bookrunner]
Natixis Securities [Joint Lead Arranger, Joint Bookrunner]
RBC Capital Markets [Joint Lead Arranger, Joint Bookrunner]
Sumitomo Mitsui Banking Corporation [Joint Lead Arranger, Joint Bookrunner]",$450.0 MM,"TerraForm Power Operating, LLC",Energy,Revolving Credit Facility,"The New Revolver consists of a revolving credit facility in an initial amount of $450.0 million (available for revolving loans and letters of credit). The New Revolver matures on the four-year anniversary of the closing date of such facility. Each of TERP Operating’s existing and subsequently acquired or organized domestic restricted subsidiaries (excluding non-recourse subsidiaries) and TerraForm Power, LLC (“Terra LLC”) are or will become guarantors under the New Revolver. All outstanding amounts under the New Revolver bear interest initially at a rate per annum equal to, at TERP Operating’s option, either (i) a base rate plus a margin of 2.00% or (ii) a reserve adjusted Eurodollar rate plus a margin of 3.00%. After the fiscal quarter ended December 31, 2017 and delivery of a customary compliance certificate, the applicable margin will be determined by reference to a leverage-based grid.",MD
10/19/2017,"Bank of America [Participant]
JPMorgan Chase Bank [Participant]
First Tennessee Bank [Participant]
Texas Capital Bank [Participant]
Credit Suisse Bank [Participant]",$150.0 MM,"Newpark Resources, Inc.",Energy Services,"Revolver Increase, Amendment","Amended and restated credit agreement and increases the asset-based revolving loan facility from $90MM to $150MM, while also reducing the applicable borrowing base rates and fee terms. The Credit Agreement also extends the term of the ABL Facility through October 2022, conditional upon the satisfactory settlement of the company's outstanding $100 million in Convertible Senior Notes that mature in December 2021.   The Amended Credit Agreement also includes an accordion feature, allowing for the potential expansion of the ABL Facility up to a maximum of $225 million.",
10/19/2017,"PNC Bank [Administrative Agent, Lender]
KeyBank [Lender]",$100.0 MM,"Crocs, Inc.",Apparel,"Revolver Increase, Amendment","Fourteenth Amendment to the Amended and Restated Credit Agreement (the “Amendment”), with PNC Bank, National Association (“PNC”), as lender and administrative agent, and the other lenders party thereto, pursuant to which certain terms of the Amended and Restated Credit Agreement, dated December 16, 2011, were amended.The Amendment, among other things, (i) increases the total commitments under the Company’s revolving credit facility from $80 million to $100 million, (ii) adds KeyBank National Association as a lender under the revolving credit facility, (iii) increases the covenant triggering event upon which the borrowers are required to meet certain financial covenants from $20 million in average outstanding borrowings during a specified period to the lesser of $40 million or 40% of the total commitments, (iv) permits certain intercompany loans of up to $375 million, and (v) amends certain other provisions to be more favorable to the Company.",CO
10/23/2017,PNC Bank [Administrative Agent],$150.0 MM,CDI Corp.,Staffing Services,Revolver,"CDI Corp. will use the funds, in part, to repay existing debt, partially finance the acquisition by AE Industrial Partners, LLC, and provide for ongoing working capital needs. Transaction details not disclosed.",
10/23/2017,"JPMorgan Chase Bank [Administrative Agent, Joint Lead Arranger, Collateral Agent]
Goldman Sachs Lending Partners [Joint Lead Arranger]
Citigroup Global Markets [Joint Lead Arranger]",$1.6 B,Navistar International Corporation,Transportation,Senior Term Loan,Refinancing of company's existing approximately $1.0 billion senior secured term loan which is due to mature in August 2020 with a new $1.6 billion senior secured term loan which is due to mature in November 2024.  The refinancing will provide additional liquidity and financial flexibility for the company and provide for an extended maturity of the senior secured term loan facility. The interest rate with respect to the new senior secured term loan is expected to be adjusted LIBOR plus a 3.50% margin (with a LIBOR floor of 0.00%) or ABR plus a 2.50% margin (with an ABR floor of 1.00%).,IL
10/23/2017,Wells Fargo Bank [Administrative Agent],$1.5 B,The Brink's Company,Specialty Industries,$1.0B Senior Secured Revolver; $500MM Senior Secured T/L,A $1.5 billion credit facility that includes a $1.0 billion senior secured revolving credit facility and a $500 million senior secured term loan A. Loans under the revolver and term loan mature in 2022 and interest rates float based on a consolidated net leverage grid. Transaction details not disclosed.,
10/23/2017,"JPMorgan Chase Bank [Administrative Agent, Collateral Agent]",$900.0 B,"Golden Entertainment, Inc.",Gaming,$100MM Revolver; $800MM Term Loan,The company entered into credit agreements with respect to a $900.0 million senior secured first lien credit facility (consisting of $800.0 million in term loans and a $100.0 million revolving credit facility) with JPMorgan Chase Bank. Transaction detailns not disclosed.,
10/23/2017,Barclays Bank [Administrative Agent],$75.0 MM,Civitas Solutions,Healthcare,"Term Loan Amendment, Upsize",Amendment and increase of credit facility whereby the term loan was increased by $75MM.,MA
10/24/2017,Bank of America [Administrative Agent],$2.0 B,"HCP, Inc.",Real Estate,Unsecured Revolver,"The new credit agreement provides for a $2.0 billion senior unsecured revolving credit facility, replacing the Company’s prior $2.0 billion senior unsecured revolving credit facility. Pursuant to the New Credit Agreement, the Company has the right to enter into term loans or increase the facility by an aggregate amount of up to $750 million, so long as no default or event of default is continuing and other customary conditions have been satisfied. Any such increase will be syndicated on a best efforts basis and no lender is required to increase its commitment under the New Credit Agreement to facilitate such increase. The New Credit Agreement includes sublimits of (i) up to $100 million for letters of credit, (ii) up to 10% of the facility for swingline loans, (iii) up to $1.0 billion for loans in certain alternative currencies and (iv) up to 50% of the facility for certain negotiated rate loans. Revolving loans outstanding under the New Credit Agreement will bear interest at a rate per annum equal to the applicable margin plus the applicable base rate or, at the Company’s option, the LIBOR, CDOR or BBSY interest rate (“Eurocurrency rate”), as applicable. Negotiated rate loans will bear interest at the rate agreed to between the Company and the applicable lender. The applicable margin ranges from 0.00% to 0.55% for base rate loans and 0.775% to 1.55% for Eurocurrency rate loans, in each case based on the senior unsecured long-term debt ratings of the Company (“Debt Ratings”). Based on the Company’s current Debt Ratings, the applicable margins for revolving loans are 1.00% for a Eurocurrency rate loan or 0.00% for a base rate loan.",MD
10/25/2017,Bank of America [Agent],$880.0 MM,"The Bon-Ton Stores, Inc.",Retail,ABL Tranche A and Tranche A-1 Credit Facility,"Company amended its $880 million ABL Tranche A and Tranche A-1 credit facility, providing the Company with immediate flexibility and substantial additional liquidity under its current credit facility. Transaction details not disclosed.",
10/25/2017,MB Business Capital [Lender],$9.0 MM,Metpar Corporation,Manufacturing,Senior Secured Credit Facility,A new senior credit facility. Transaction details not disclosed.,NY
10/25/2017,"ClearFlow Commercial Finance, Inc. [Lender]",$60.0 MM,Lendified,Lender Finance,Credit Facility,Credit facility increases Lendified's lending capacity to $85MM. Transaction details not disclosed.,
10/25/2017,Credit Suisse Cayman Islands Branch [Agent],$200.0 MM,"Beazer Homes USA, Inc.",Real Estate,Credit Facility,"On October 24, 2017, the company executed a Fourth Amendment (the “Amendment”) to the Second Amended and Restated Credit Agreement, dated as of September 24, 2012, among the Company, as borrower, the lenders party thereto, the issuers party thereto, and Credit Suisse AG, Cayman Islands Brach, as agent, as amended on November 10, 2014, November 6, 2015 and October 13, 2016 (as amended, the “Credit Agreement”). The Amendment, among other things: Increases the maximum aggregate amount of commitments under the Credit Agreement from $180 million to $200 million,  permits the maximum aggregate amount of commitments under the Credit Agreement to be increased to up to $250 million pursuant to one or more additional incremental increases, subject to the approval of any lenders providing such increases, and  extends the termination date from February 15, 2019 to February 15, 2020.",GA
10/26/2017,"Capital One [Sole Lead Arranger, Sole Bookrunner, Administrative Agent]",$200.0 MM,VerticalScope,Media,Senior Credit Facility,"The facility consists of a $110 million term loan, a $70 million delayed-draw term loan and a $20 million revolving line of credit. VerticalScope will use the facility to refinance existing debt and support future acquisitions. Transaction details not disclosed.",
10/26/2017,"JPMorgan Chase Bank [Lead Arranger, Administrative Agent]
Bank of America Merrill Lynch [Joint Lead Arranger, Joint Bookrunner]
Wells Fargo Capital Finance [Joint Lead Arranger, Joint Bookrunner]",$550.0 MM,"Tailored Brands, Inc.",Retail,Asset-Based Revolver,"Company amended its asset-based revolving credit facility, expanding availability to $550 million from $500 million and extending its maturity to October 2022 from June 2019. The ABL includes a $100 million expansion feature and has an improved fee structure. The ABL matures October 2022, subject to a springing maturity provision relative to the Company's other outstanding debt. Additional transaction details not disclosed.",
10/26/2017,Comerica Bank [Lender],$50.0 MM,Bold Firms,Entertainment,"Revolver Renewal, Increase","Company renewed and increased its revolving line of credit with Comerica Bank, a $50 million dollar debt facility that extends for three years. The deal provides financing for the independent studio to produce four to six films a year and ramp up their TV slate. Transaction details not disclosed.",
10/26/2017,Wells Fargo Canada Corporation [Lender],$67.1 MM,"Birks Group, Inc.",Jewelry,Senior Secured Revolver,"A CAD$85 million (US$67.1 million) senior secured revolving credit facility. The new credit facility, which matures in October 2022, replaces the Company's USD$110 million revolver credit facility and its US$ 31.0 million term loan facility which have been repaid in full as a result of the Company’s divestiture of its subsidiary, Mayor’s Jewelers, Inc, on October 23, 2017. The new credit agreement also provides the Company with an option to increase the total commitments under the facility by up to CAD$13 million (US$10.3 million). As a result of this new credit facility, the Company will benefit from advantageous modifications to its covenants, which combined with the reduction in interest costs, will increase the Company’s borrowing capacity significantly. The additional borrowing capacity will allow the Company to continue to invest in its strategic growth initiatives. The new credit facility will be used to finance the Company’s working capital and normal capital expenditure requirements as well as to fund the next phase of the Company’s strategic plan initiatives which include investments in its Canadian flagship stores, the Company’s new store concept as well as omni-channel areas that include e-commerce and wholesale activities for the Birks brand fine jewelry collections.",
10/30/2017,Citizens Commercial Banking [Lender],$60.0 MM,True Religion Brand Jeans,Retail,Credit Facility,Citizens Commercial Banking provided the company a new $60 million credit facility to be used by True Religion for working capital as the retailer grows the business post-reorganization. Citizens previously provided $60 million in debtor-in-possession financing for True Religion in July. Transaction details not disclosed.,CA
10/30/2017,Redpoint Capital Group [Lender],$40.0 MM,Braviant Holdings,Lender Finance,Senior Secured Credit Facility,"Senior credit facility. The additional funding will fuel the company’s continued growth story, including its ongoing efforts to expand into higher dollar, lower cost installment loans that better meet the needs of the new middle class. Transaction details not disclosed.",
10/30/2017,Silicon Valley Bank [Lender],$30.0 MM,Persado,Marketing,Financing Facility,The financing from SVB will fuel the expansion of the Persado Marketing Language Cloud and further the rapid growth of the business. Transaction details not disclosed.,
10/31/2017,NewSpring Capital [Lender],$25.0 MM,Fox Rent-A-Car,Transportation,Debt Refinancing,Debt refinancing to help the company accelerate growth. Proceeds of the refinancing will be used to retire existing debt and provide the company working capital for expansion. Transaction details not disclosed.,CA
10/31/2017,"Garrison Investment Group [Lead Arranger, Administrative Agent]",$45.0 MM,University Furnishings,Furniture,Senior Credit Facility,Credit facility refinances the company's existing credit facilities providing further flexibility for expected continued growth. Transaction details not disclosed.,TX
11/1/2017,Key Bank [Lender],$160.0 MM,Gladstone Commercial Corporation,Real Estate,Term Loan & Revolver Amendment,"Company amended, extended and upsized its existing, syndicated revolving credit and term loan facility from $110 million to $160 million. The term loan component of the facility was upsized by $50 million to $75 million with the revolving credit facility remaining unchanged at $85 million. The Company used the net proceeds of the amended and upsized facility to term out all previously existing borrowings under the revolving credit facility. The term loan facility has a five year term with a maturity date of October 27, 2022 and the revolving credit facility has a four year term with a maturity date of October 27, 2021. The pricing grid for the amended facility was revised with a spread decrease of 25 basis points for both revolving credit and term loan facility borrowings. The company also executed interest rate caps on the entire term loan facility.",
11/1/2017,"M&T Bank Corporation [Administrative Agent, Left Lead Arranger]
Natixis [Co-Lead Arranger]",$195.0 MM,"SL Green Realty Corp. and PGIM, Inc.",Real Estate,Senior RE Loan Facility,Proceeds of the loan will provide capital to complete the lease up of the building. Transaction details not disclosed.,
11/1/2017,"Wells Fargo Bank [Administrative Agent, L/C Issuer]
Regions Bank [Co-Syndication Agent]
RBS Citizens, N.A. [Co-Syndication Agent]
Cadence Bank [Co-Documentation Agent]
Fifth Third Bank [Co-Documentation Agent]",$400.0 MM,Denny's Corporation,Restaurant,Revolving Credit Facility,"The New Credit Facility provides for a five-year $400 million senior secured revolver (with a $30 million letter of credit sublimit). Borrowings will bear a tiered interest rate, which is based on the Company's consolidated leverage ratio and is initially set at LIBOR plus 200 basis points. The New Credit Facility includes an accordion feature that would allow the Borrower to increase the size of the facility to $450 million. The maturity date for the New Credit Facility is October 26, 2022. The New Credit Facility is being used to refinance the Company's Old Credit Facility (as defined in Item 1.02 below) and will also be available for working capital, capital expenditures and other general corporate purposes. The New Credit Facility is guaranteed by the Company, Denny's Realty and DFO and is secured by assets of the Company and its subsidiaries, including the stock of the Company's subsidiaries.",
11/1/2017,"TD Securities [Co-Lead Lender]
BMO Capital Markets [Co-Lead Lender]
Wells Fargo Canada Corporation [Lender]",$475.0 MM,Innergex Renewable Energy Inc.,Energy,$50MM Revolver Increase,Lenders increased company's revolving credit facility by $50MM. The credit facilities now stand at $475MM. Transaction details not disclosed.,
11/1/2017,Branch Banking & Trust Co. [Lender],$65.0 MM,Synalloy Corporation,Manufacturing,Asset-based Credit Facility,Company refinanced and increased of its asset based credit facility  from $45.0 million to $65.0 million. The ABL will be used to finance working capital needs and as a source for funding future acquisitions. Transaction details not disclosed.,VA
11/2/2017,"PNC Capital Markets [Lead Arranger, Sole Bookrunner, Administrative Agent]",$125.0 MM,Fairmount Santrol,Building Supplies,Asset-based Revolver,"Company entered into a new Term Loan B credit facility to refinance its existing Term Loan B credit facilities and also secured a new revolving credit facility resulting in extended maturities.  As part of the refinancing, the company used cash on hand to continue to reduce its overall debt.  The new Term Loan B credit facility retains the minimal covenant features of the Company’s previous loans.
As of September 30, 2017, the company’s outstanding Term B-2 Loans and Extended Term B-1 Loans balance was $781.4 million, which is net of $1.3 million from the original issue discount.  The company entered into an agreement for a new $700 million, 5-year Senior Secured Term Loan B and a new $125 million, 5-year asset-based revolving credit facility to refinance the majority of its existing Term B-2 Loans and Extended Term B-1 Loans.  The remaining $82.7 million in Term B-2 Loans and Extended Term B-1 Loans were paid off by using $32.7 million of cash on hand and $50 million that the company borrowed upon closing the new ABL Revolver. The new ABL Revolver, which expires in the fourth quarter of 2022, has a borrowing capacity of up to $125 million, based on a percentage of eligible accounts receivable and inventory balances, with an option to increase the facility by $50 million.  The ABL Revolver is secured primarily by accounts receivable and inventory, and the Term Loan B primarily by the remaining assets.  The ABL Revolver will initially bear interest at an annual rate of LIBOR plus 1.75%, with the borrowed balance payable at the maturity date.  This rate will adjust based on availability under the facility with an upper limit of LIBOR plus 2.0%.  The ABL Revolver replaces the Company's existing $100 million revolving credit facility, and is expected to provide more liquidity for the Company.",
11/2/2017,"ABN AMRO Capital USA LLC [Administrative Agent, Sole Bookrunner, Sole Lead Arranger]
Texas Capital Bank [Lender]
East West Bank [Lender]
Cadence Bank [Lender]
BOKF NA [Lender]",$165.0 MM,"Goodnight Midstream, LLC",Oil & Gas,Revolver Upsize,To provide additional capital for the company's growth and future operations. Transaction details not disclosed.,
